S_x,R_x,S_y,R_y
4800000.0,1000000.0,1200000.0,1200000.0
13763331.795727063,3685832.0555782686,7664165.040202613,13607498.237831526
21400000.0,7400000.0,10600000.0,13600000.0
28936667.61069629,11114167.62886457,13985834.264781162,8042500.903278906
37600000.0,13800000.0,21800000.0,3800000.0
46764999.89120734,14507499.684345257,35217499.97001802,5647500.101727772
48400000.0,12600000.0,44200000.0,10000000.0
36903332.43135803,8480832.493153227,39394165.74680851,12142499.057397753
23800000.0,6400000.0,25400000.0,11200000.0
24896668.43648586,11569168.618172187,10305835.023792526,7257501.545035249
56000000.0,29200000.0,2200000.0,400000.0
